reward,length,result
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
-44.00000000000002,200,failure
